
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
899	9.13	0.1232 10.5 0.0000 0.1000 0.4000	0.1232 10.5 0.0000 0.1000 0.4000
949	9.63	0.1243 10.4 0.0000 0.1000 0.4000	0.1243 10.4 0.0000 0.1000 0.4000
999	10.08	0.1329 10.0 0.0000 0.1000 0.5000	0.1329 10.0 0.0000 0.1000 0.5000
best_performance: 49	1.65	0.1571 9.9 0.0000 0.2000 0.4000	0.1571 9.9 0.0000 0.2000 0.4000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.65	0.0940 11.2 0.0000 0.0000 0.4000	0.0940 11.2 0.0000 0.0000 0.4000
99	2.05	0.0940 11.3 0.0000 0.0000 0.4000	0.0940 11.3 0.0000 0.0000 0.4000
149	2.43	0.0923 11.5 0.0000 0.0000 0.3000	0.0923 11.5 0.0000 0.0000 0.3000
199	2.82	0.0948 11.4 0.0000 0.0000 0.3000	0.0948 11.4 0.0000 0.0000 0.3000
249	3.20	0.0967 11.4 0.0000 0.0000 0.3000	0.0967 11.4 0.0000 0.0000 0.3000
299	3.58	0.0993 11.3 0.0000 0.0000 0.3000	0.0993 11.3 0.0000 0.0000 0.3000
349	3.98	0.1076 11.1 0.0000 0.0000 0.3000	0.1076 11.1 0.0000 0.0000 0.3000
399	4.41	0.1152 11.1 0.0000 0.1000 0.3000	0.1152 11.1 0.0000 0.1000 0.3000
449	4.85	0.1185 11.0 0.0000 0.1000 0.3000	0.1185 11.0 0.0000 0.1000 0.3000
499	5.28	0.1418 10.6 0.0000 0.1000 0.4000	0.1418 10.6 0.0000 0.1000 0.4000
549	5.72	0.1502 10.5 0.0000 0.2000 0.4000	0.1502 10.5 0.0000 0.2000 0.4000
599	6.17	0.1512 10.5 0.0000 0.2000 0.4000	0.1512 10.5 0.0000 0.2000 0.4000
649	6.62	0.1690 10.3 0.0000 0.2000 0.4000	0.1690 10.3 0.0000 0.2000 0.4000
699	7.13	0.1716 10.2 0.0000 0.2000 0.4000	0.1716 10.2 0.0000 0.2000 0.4000
749	7.57	0.1722 10.1 0.0000 0.2000 0.4000	0.1722 10.1 0.0000 0.2000 0.4000
799	8.01	0.1746 10.0 0.0000 0.2000 0.4000	0.1746 10.0 0.0000 0.2000 0.4000
849	8.46	0.1746 10.0 0.0000 0.2000 0.4000	0.1746 10.0 0.0000 0.2000 0.4000
899	8.91	0.1732 9.9 0.0000 0.2000 0.4000	0.1732 9.9 0.0000 0.2000 0.4000
949	9.38	0.1739 9.8 0.0000 0.2000 0.4000	0.1739 9.8 0.0000 0.2000 0.4000
999	9.83	0.1739 9.8 0.0000 0.2000 0.4000	0.1739 9.8 0.0000 0.2000 0.4000
best_performance: 799	8.01	0.1746 10.0 0.0000 0.2000 0.4000	0.1746 10.0 0.0000 0.2000 0.4000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	7.59	0.1244 10.5 0.0000 0.1000 0.4000	0.1244 10.5 0.0000 0.1000 0.4000
99	7.99	0.1302 10.3 0.0000 0.1000 0.4000	0.1302 10.3 0.0000 0.1000 0.4000
149	8.38	0.1270 10.0 0.0000 0.0000 0.5000	0.1270 10.0 0.0000 0.0000 0.5000
199	8.73	0.1349 10.0 0.0000 0.1000 0.5000	0.1349 10.0 0.0000 0.1000 0.5000
249	9.08	0.1349 10.0 0.0000 0.1000 0.5000	0.1349 10.0 0.0000 0.1000 0.5000
299	9.42	0.1424 9.7 0.0000 0.1000 0.5000	0.1424 9.7 0.0000 0.1000 0.5000
349	9.78	0.1406 9.8 0.0000 0.1000 0.5000	0.1406 9.8 0.0000 0.1000 0.5000
399	10.16	0.1596 9.6 0.0000 0.1000 0.5000	0.1596 9.6 0.0000 0.1000 0.5000
449	10.60	0.1533 9.8 0.0000 0.1000 0.5000	0.1533 9.8 0.0000 0.1000 0.5000
499	10.99	0.1489 10.0 0.0000 0.1000 0.5000	0.1489 10.0 0.0000 0.1000 0.5000
549	11.35	0.1473 10.0 0.0000 0.1000 0.5000	0.1473 10.0 0.0000 0.1000 0.5000
599	11.71	0.1550 9.8 0.0000 0.1000 0.5000	0.1550 9.8 0.0000 0.1000 0.5000
649	12.11	0.1556 9.7 0.0000 0.1000 0.5000	0.1556 9.7 0.0000 0.1000 0.5000
699	12.54	0.1556 9.7 0.0000 0.1000 0.5000	0.1556 9.7 0.0000 0.1000 0.5000
